SOCName,Employer Name,Number of Records,Mean National Wage,Mean Prevailing Wage,Median National Wage,Median Prevailing Wage
Accountants_and_Auditors,KPMG LLP,576,75280,54883.04653,67190,51730
Accountants_and_Auditors,ERNST & YOUNG U.S. LLP,146,75280,64534.31507,67190,63400
Accountants_and_Auditors,CROSSCOUNTRY CONSULTING LLC,76,75280,69249.71053,67190,70096
Accountants_and_Auditors,"GOLDMAN, SACHS & CO.",54,75280,65107.33333,67190,72400
Accountants_and_Auditors,"THE ABACUS GROUP, INC.",52,75280,49882.46154,67190,48900
Accountants_and_Auditors,HOTTA LIESENBERG SAITO LLP,40,75280,50268.5,67190,48027
Accountants_and_Auditors,"CROSSCOUNTRY CONSULTING, LLC",32,75280,64360.375,67190,66549.5
Accountants_and_Auditors,JPMORGAN CHASE & CO.,28,75280,59608.42857,67190,54746
Accountants_and_Auditors,GOLDMAN SACHS & CO.,26,75280,65817.69231,67190,74110
Accountants_and_Auditors,SOFT TECH SOURCE,24,75280,52706,67190,54746
Computer_Occupations_All_Other,INFOSYS LIMITED,1566,87310,67117.04215,85240,66893
Computer_Occupations_All_Other,WIPRO LIMITED,5424,87310,70846.13145,85240,69451
Computer_Occupations_All_Other,LARSEN & TOUBRO INFOTECH LIMITED,582,87310,54543.86254,85240,52072.5
Computer_Occupations_All_Other,TATA CONSULTANCY SERVICES LIMITED,509,87310,64326.8389,85240,64314
Computer_Occupations_All_Other,IGATE TECHNOLOGIES INC.,479,87310,346160.2255,85240,65146
Computer_Occupations_All_Other,"TECH MAHINDRA (AMERICAS),INC.",339,87310,68327.43658,85240,67642
Computer_Occupations_All_Other,"TECH MAHINDRA (AMERICAS), INC.",244,87310,68818.93033,85240,68141
Computer_Occupations_All_Other,IBM INDIA PRIVATE LIMITED,227,87310,68601.91189,85240,69077
Computer_Occupations_All_Other,VIRTUSA CORPORATION,117,87310,67318.52137,85240,65749
Computer_Occupations_All_Other,AVIGHNA GLOBAL SOLUTIONS LLC,92,87310,47988.7,85240,46571
Computer_Occupations_All_Other,TECH MAHINDRA (AMERICAS) INC.,82,87310,70512.07317,85240,73237
Computer_Programmers,INFOSYS LIMITED,2990,84360,53990.14415,79530,54246
