SOCName,Employer Name,Number of Records,Mean National Wage,Mean Prevailing Wage,Median National Wage,Median Prevailing Wage
Accountants_and_Auditors,WIPRO LIMITED,14,71040,58867.14286,63550,58386
Accountants_and_Auditors,ERNST & YOUNG U.S. LLP,106,71040,58856.56604,63550,58698
Accountants_and_Auditors,KPMG LLP,220,71040,57210.29091,63550,51198.5
Accountants_and_Auditors,"GOLDMAN, SACHS & CO.",40,71040,9345216.5,63550,71906
Accountants_and_Auditors,HOTTA LIESENBERG SAITO LLP,48,71040,49090.54167,63550,47382
Accountants_and_Auditors,DELOITTE & TOUCHE LLP,30,71040,60029.26667,63550,62338
Accountants_and_Auditors,"PRICEWATERHOUSECOOPERS, LLP",32,71040,55523.125,63550,48048
Accountants_and_Auditors,"CROSSCOUNTRY CONSULTING, LLC",30,71040,63071.13333,63550,64230
Accountants_and_Auditors,SOFT TECH SOURCE,28,71040,49115.5,63550,48500
Accountants_and_Auditors,"THE CHUGH FIRM, AAC",22,71040,51125.90909,63550,47382
Computer_Programmers,INFOSYS LIMITED,1613,78260,246908.4836,74280,52478
Computer_Programmers,TATA CONSULTANCY SERVICES LIMITED,2582,78260,102773.1158,74280,60237
Computer_Programmers,WIPRO LIMITED,2181,78260,70164.03072,74280,68286
Computer_Programmers,"HCL AMERICA, INC.",581,78260,58501.37349,74280,52811
Computer_Programmers,IBM INDIA PRIVATE LIMITED,865,78260,64796.56301,74280,62795
Computer_Programmers,LARSEN & TOUBRO INFOTECH LIMITED,721,78260,208410.6588,74280,49650
Computer_Programmers,ACCENTURE LLP,676,78260,64195.42604,74280,63065.5
Computer_Programmers,"MARLABS, INC",569,78260,65485.41652,74280,65582
Computer_Programmers,"V-SOFT CONSULTING GROUP, INC",391,78260,324842.976,74280,50253
Computer_Programmers,PATNI AMERICAS INC.,311,78260,60403.92605,74280,60050
Computer_Systems_Analysts,INFOSYS LIMITED,5718,83800,227087.5502,79680,63648
Computer_Systems_Analysts,DELOITTE CONSULTING LLP,706,83800,67052.85836,79680,67433.5
Computer_Systems_Analysts,TATA CONSULTANCY SERVICES LIMITED,311,83800,60089.94534,79680,61339
Computer_Systems_Analysts,"HCL AMERICA, INC.",893,83800,57908.92833,79680,58053
Computer_Systems_Analysts,SATYAM COMPUTER SERVICES LIMITED,596,83800,72363.64933,79680,75194
Computer_Systems_Analysts,UST GLOBAL INC.,838,83800,55668.15771,79680,55890
Computer_Systems_Analysts,"HEXAWARE TECHNOLOGIES, INC.",516,83800,340980.9806,79680,58906
Computer_Systems_Analysts,MPHASIS CORPORATION,346,83800,64662.56069,79680,61557.5
Computer_Systems_Analysts,"SYNECHRON, INC.",280,83800,505421.7607,79680,68273
Computer_Systems_Analysts,CAPGEMINI FINANCIAL SERVICES USA INC,300,83800,58064.94333,79680,58906
Database_Administrators,TATA CONSULTANCY SERVICES LIMITED,176,79120,58520.31818,77080,58271
Database_Administrators,WIPRO LIMITED,95,79120,64378.62105,77080,64355
Database_Administrators,"HCL AMERICA, INC.",23,79120,53252.52174,77080,53456
Database_Administrators,SATYAM COMPUTER SERVICES LIMITED,52,79120,106136.9231,77080,61797
Database_Administrators,CYBERTHINK INC,23,79120,53916.30435,77080,50960
Database_Administrators,SIRI INFOSOLUTIONS INC.,27,79120,53428.37037,77080,53456
Database_Administrators,SUNMERGE SYSTEMS INC.,23,79120,55936.69565,77080,56493
Database_Administrators,SREE INFOTECH LLC,41,79120,51354.31707,77080,50627
Database_Administrators,TEK SERVICES LLC,34,79120,65407.35294,77080,65520
Database_Administrators,"YASH SOLUTIONS, LLC",22,79120,50178.13636,77080,50627
Electrical_Engineers,CUMMINS INC.,5,91810,61289.4,87920,61797
Electrical_Engineers,PHILIPS ELECTRONICS NORTH AMERICA CORPORATION,6,91810,74772.16667,87920,74589
Electrical_Engineers,"XILINX, INC.",14,91810,86918.42857,87920,83374.5
Electrical_Engineers,ALSTOM GRID INC.,5,91810,69014.8,87920,63898
Electrical_Engineers,SANDISK CORPORATION,8,91810,77412.75,87920,74027
Electrical_Engineers,"ARM, INC.",6,91810,67097.33333,87920,66809.5
Electrical_Engineers,ABB INC.,5,91810,65299.8,87920,77168
Electrical_Engineers,"CONTRA COSTA ELECTRIC, INC.",5,91810,60964.8,87920,60964.8
Electronics_Engineers_Except_Computer,QUALCOMM INCORPORATED,9,95250,85476.44444,91820,85051.2
Electronics_Engineers_Except_Computer,INTEL CORPORATION,45,95250,90084,91820,93850
Electronics_Engineers_Except_Computer,"MOTOROLA MOBILITY, INC.",17,95250,85653,91820,86690
Electronics_Engineers_Except_Computer,"MOTOROLA SOLUTIONS, INC.",30,95250,65529.81333,91820,58864.7
Electronics_Engineers_Except_Computer,INTEL MOBILE COMMUNICATIONS NORTH AMERICA,21,95250,94293.90476,91820,95701
Electronics_Engineers_Except_Computer,TEXAS INSTRUMENTS INCORPORATED,16,95250,86790.0625,91820,93100.5
Electronics_Engineers_Except_Computer,"CIRRUS LOGIC, INC.",25,95250,74403.28,91820,74464
Electronics_Engineers_Except_Computer,ASTRON CONSULTING LLC,21,95250,65950.04762,91820,66477
Electronics_Engineers_Except_Computer,LINEAR TECHNOLOGY CORPORATION,9,95250,80911.82222,91820,83158
Electronics_Engineers_Except_Computer,"MOTOROLA, INC.",7,95250,73227.28571,91820,73753
Financial_Analysts,DELOITTE CONSULTING LLP,755,89410,69137.63576,76950,62566
Financial_Analysts,"GOLDMAN, SACHS & CO.",77,89410,1369291.26,76950,64200
Financial_Analysts,MORGAN STANLEY & CO. LLC,107,89410,78780.45794,76950,65603
Financial_Analysts,CREDIT SUISSE SECURITIES (USA) LLC,108,89410,74390.38889,76950,72685.5
Financial_Analysts,DEUTSCHE BANK SECURITIES INC.,106,89410,75036.57547,76950,62566
