SOCName,Employer Name,Number of Records,Mean National Wage,Mean Prevailing Wage,Median National Wage,Median Prevailing Wage
Accountants_and_Auditors,ERNST & YOUNG U.S. LLP,116,72500,60635.63793,65080,60112
Accountants_and_Auditors,"GOLDMAN, SACHS & CO.",48,72500,62039.33333,65080,65750
Accountants_and_Auditors,KPMG LLP,134,72500,65189.19403,65080,70574
Accountants_and_Auditors,MORGAN STANLEY & CO. LLC,14,72500,70208.85714,65080,72550
Accountants_and_Auditors,HOTTA LIESENBERG SAITO LLP,42,72500,52028.85714,65080,55370
Accountants_and_Auditors,"CROSSCOUNTRY CONSULTING, LLC",40,72500,64401,65080,64178.5
Accountants_and_Auditors,UNIVERSAL MANAGEMENT & BUSINESS SERVICES,22,72500,48806.63636,65080,49754
Accountants_and_Auditors,SOFT TECH SOURCE,14,72500,47457.14286,65080,48200
Accountants_and_Auditors,"TRIANGLE ACCOUNTING, INC.",16,72500,45123,65080,44137.6
Accountants_and_Auditors,"MT. EPHRIAM CHICKEN, LLC",12,72500,49275.2,65080,49275.2
Computer_Occupations_All_Other,INFOSYS LIMITED,1369,83240,64277.26326,82340,64522
Computer_Occupations_All_Other,TATA CONSULTANCY SERVICES LIMITED,925,83240,196530.0865,82340,60798
Computer_Occupations_All_Other,WIPRO LIMITED,1845,83240,66332.6206,82340,65458
Computer_Occupations_All_Other,LARSEN & TOUBRO INFOTECH LIMITED,223,83240,50905.35426,82340,50274
Computer_Occupations_All_Other,SATYAM COMPUTER SERVICES LTD,132,83240,69137.93182,82340,69742.5
Computer_Occupations_All_Other,"TECH MAHINDRA (AMERICAS), INC.",130,83240,59026.77692,82340,61300
Computer_Occupations_All_Other,SATYAM COMPUTER SERVICES LTD.,131,83240,69493.20611,82340,74942
Computer_Occupations_All_Other,IGATE TECHNOLOGIES INC.,197,83240,64187.08122,82340,64397
Computer_Occupations_All_Other,SATYAM COMPUTER SERVICES LIMITED,95,83240,67590.18947,82340,65832
Computer_Occupations_All_Other,LARSEN & TOUBRO LIMITED,87,83240,47082.13793,82340,49192
Computer_Programmers,INFOSYS LIMITED,2604,80930,52440.62112,76140,50253
Computer_Programmers,TATA CONSULTANCY SERVICES LIMITED,4031,80930,87567.0325,76140,61630
Computer_Programmers,WIPRO LIMITED,1651,80930,71778.01938,76140,70325
Computer_Programmers,ACCENTURE LLP,1256,80930,65500.66959,76140,63856
Computer_Programmers,LARSEN & TOUBRO INFOTECH LIMITED,922,80930,51008.28959,76140,50336
Computer_Programmers,IBM INDIA PRIVATE LIMITED,698,80930,64815.20057,76140,62962
Computer_Programmers,IGATE TECHNOLOGIES INC.,259,80930,62403.56757,76140,62899
Computer_Programmers,"V-SOFT CONSULTING GROUP, INC",361,80930,51217.4615,76140,50253
Computer_Programmers,"MARLABS, INC",416,80930,66479.53702,76140,67101
Computer_Programmers,SBASE TECHNOLOGIES INC,308,80930,51018.26494,76140,50336
Computer_Systems_Analysts,INFOSYS LIMITED,19138,85320,98630.08939,81190,67309
Computer_Systems_Analysts,TATA CONSULTANCY SERVICES LIMITED,362,85320,60866.25414,81190,61600
Computer_Systems_Analysts,DELOITTE CONSULTING LLP,1293,85320,65636.10828,81190,62442
Computer_Systems_Analysts,SATYAM COMPUTER SERVICES LTD,419,85320,89054.38902,81190,71240
Computer_Systems_Analysts,"TECH MAHINDRA (AMERICAS), INC.",320,85320,62001.25313,81190,63107
Computer_Systems_Analysts,UST GLOBAL INC,409,85320,56917.35208,81190,58094
Computer_Systems_Analysts,"HEXAWARE TECHNOLOGIES, INC.",463,85320,59433.88743,81190,58302
Computer_Systems_Analysts,MPHASIS CORPORATION,315,85320,543262.0762,81190,61506
Computer_Systems_Analysts,AKVARR INC,301,85320,60529.22392,81190,60507
Computer_Systems_Analysts,"RELIABLE SOFTWARE RESOURCES, INC.",300,85320,56422.1,81190,56628
Database_Administrators,TATA CONSULTANCY SERVICES LIMITED,169,80740,61207.16568,78520,62192
Database_Administrators,WIPRO LIMITED,92,80740,67653.76087,78520,67028
Database_Administrators,LARSEN & TOUBRO INFOTECH LIMITED,43,80740,52224.55814,78520,52624
Database_Administrators,SATYAM COMPUTER SERVICES LTD,46,80740,66286.6087,78520,68078
Database_Administrators,SATYAM COMPUTER SERVICES LTD.,23,80740,67197.69565,78520,66186
Database_Administrators,"ITECH US, INC.",28,80740,69136.39286,78520,73174
Database_Administrators,TEK SERVICES LLC,45,80740,69082.2,78520,68827
Database_Administrators,SREE INFOTECH LLC,52,80740,51020.42308,78520,49213
Database_Administrators,SUNMERGE SYSTEMS INC.,33,80740,56589.9697,78520,54246
Database_Administrators,INFOVISION TECHNOLOGIES INC,25,80740,68860.52,78520,70866
Electrical_Engineers,"QUALCOMM TECHNOLOGIES, INC.",19,93380,87515.49474,89180,85155.2
Electrical_Engineers,"INFOTECH ENTERPRISES AMERICA, INC.",5,93380,70944.6,89180,70928
Electrical_Engineers,"ROCKWELL COLLINS, INC.",16,93380,60381.375,89180,57450
Electrical_Engineers,PHILIPS ELECTRONICS NORTH AMERICA CORPORATION,5,93380,80769.6,89180,85285
Electrical_Engineers,"ARM, INC.",5,93380,74693.8,89180,75670
Electrical_Engineers,SANDISK CORPORATION,5,93380,84728.6,89180,82327
Electronics_Engineers_Except_Computer,"QUALCOMM TECHNOLOGIES, INC.",62,97870,86077.35806,94250,88878.4
Electronics_Engineers_Except_Computer,INTEL CORPORATION,25,97870,87878.6,94250,79702
Electronics_Engineers_Except_Computer,MOTOROLA MOBILITY LLC,6,97870,94190.66667,94250,90330
Electronics_Engineers_Except_Computer,"MOTOROLA SOLUTIONS, INC.",16,97870,69885.125,94250,70450
Electronics_Engineers_Except_Computer,"PRICOL TECHNOLOGIES, INC.",18,97870,61269.66667,94250,58052.5
Electronics_Engineers_Except_Computer,INTEL MOBILE COMMUNICATIONS NORTH AMERICA,21,97870,99217.38095,94250,102190
Electronics_Engineers_Except_Computer,"ARRIS SOLUTIONS, INC.",7,97870,92294.42857,94250,85946
