SOCName,Employer Name,Number of Records,Mean National Wage,Mean Prevailing Wage,Median National Wage,Median Prevailing Wage
Accountants_and_Auditors,ERNST & YOUNG U.S. LLP,114,76730,67014.73684,68150,65811
Accountants_and_Auditors,KPMG LLP,688,76730,56418.05814,68150,55370
Accountants_and_Auditors,"GOLDMAN, SACHS & CO.",60,76730,64909.06667,68150,68185
Accountants_and_Auditors,JPMORGAN CHASE & CO.,24,76730,63201,68150,62265
Accountants_and_Auditors,MORGAN STANLEY & CO. LLC,22,76730,65342.27273,68150,55370
Accountants_and_Auditors,"GOLDMAN, SACHS &AMP; CO.",30,76730,61087.26667,68150,57741
Accountants_and_Auditors,CROSSCOUNTRY CONSULTING LLC,54,76730,72353.92593,68150,72571
Accountants_and_Auditors,BCA WATSON RICE LLP,32,76730,55370,68150,55370
Accountants_and_Auditors,HOTTA LIESENBERG SAITO LLP,32,76730,48990.5625,68150,47445
Accountants_and_Auditors,"BHATIA & CO, INC, CPAS",22,76730,57546.14545,68150,58177.6
Computer_Occupations_All_Other,WIPRO LIMITED,4807,88880,72774.26212,86510,69867
Computer_Occupations_All_Other,"TECH MAHINDRA (AMERICAS),INC.",199,88880,71996.33166,86510,75733
Computer_Occupations_All_Other,IBM INDIA PRIVATE LIMITED,197,88880,73753.5736,86510,75150
Computer_Occupations_All_Other,CAPGEMINI AMERICA INC,210,88880,92021.71429,86510,92851
Computer_Occupations_All_Other,IGATE TECHNOLOGIES INC.,107,88880,69308.6729,86510,68245
Computer_Occupations_All_Other,INFOSYS LIMITED,125,88880,69573.76,86510,69264
Computer_Occupations_All_Other,"TECH MAHINDRA (AMERICAS), INC.",95,88880,72526.05263,86510,70179
Computer_Occupations_All_Other,LARSEN & TOUBRO INFOTECH LIMITED,82,88880,60124.79268,86510,60465.5
Computer_Occupations_All_Other,"SONATA SOFTWARE NORTH AMERICA, INC.",112,88880,62067.28571,86510,55682
Computer_Occupations_All_Other,VIRTUSA CORPORATION,135,88880,68522.54074,86510,68432
Computer_Programmers,WIPRO LIMITED,1287,85180,69214.23932,79840,68702
Computer_Programmers,TATA CONSULTANCY SERVICES LIMITED,5213,85180,64085.99367,79840,63482
Computer_Programmers,"TECH MAHINDRA (AMERICAS),INC.",2239,85180,67464.39527,79840,64875
Computer_Programmers,IBM INDIA PRIVATE LIMITED,2290,85180,66275.169,79840,66997
Computer_Programmers,ACCENTURE LLP,1694,85180,68919.44392,79840,68869
Computer_Programmers,IGATE TECHNOLOGIES INC.,929,85180,67112.66738,79840,66872
Computer_Programmers,"HEXAWARE TECHNOLOGIES, INC.",660,85180,59942.37576,79840,58053
Computer_Programmers,"V-SOFT CONSULTING GROUP, INC",446,85180,66430.50987,79840,67724.5
Computer_Programmers,HTC GLOBAL SERVICES INC.,556,85180,61075.02698,79840,59010
Computer_Programmers,"MARLABS, INC.",432,85180,70078.98843,79840,70304
Computer_Systems_Analysts,TATA CONSULTANCY SERVICES LIMITED,694,91620,257167.5403,87220,64043
Computer_Systems_Analysts,DELOITTE CONSULTING LLP,1873,91620,73225.41965,87220,74963
Computer_Systems_Analysts,"TECH MAHINDRA (AMERICAS),INC.",671,91620,75035.71684,87220,73861
Computer_Systems_Analysts,ERNST & YOUNG U.S. LLP,559,91620,75533.28801,87220,76170
Computer_Systems_Analysts,SYNTEL CONSULTING INC.,1548,91620,64803.59302,87220,63710
Computer_Systems_Analysts,INFOSYS LIMITED,1212,91620,74712.63696,87220,74922
Computer_Systems_Analysts,UST GLOBAL INC,657,91620,58191.73059,87220,59717
Computer_Systems_Analysts,"COMPUNNEL SOFTWARE GROUP, INC.",623,91620,59701.78491,87220,60029
Computer_Systems_Analysts,UST GLOBAL INC.,526,91620,58341.49049,87220,59717
Computer_Systems_Analysts,SYNTEL INC,563,91620,76198.9929,87220,70866
Database_Administrators,WIPRO LIMITED,174,87130,70344.4023,84950,67558
Database_Administrators,TATA CONSULTANCY SERVICES LIMITED,219,87130,66601.80365,84950,65728
Database_Administrators,"TECH MAHINDRA (AMERICAS),INC.",84,87130,72452.14286,84950,70803
Database_Administrators,"COMPUNNEL SOFTWARE GROUP, INC.",62,87130,56940.01613,84950,57616
Database_Administrators,LARSEN & TOUBRO INFOTECH LIMITED,48,87130,62159.5,84950,60778
Database_Administrators,L&T TECHNOLOGY SERVICES LIMITED,72,87130,50979.52778,84950,47674
Database_Administrators,"APPLAB SYSTEMS, INC",40,87130,65961.85,84950,67059
Database_Administrators,GEO LOGIC SYSTEMS CORP,39,87130,56788.38462,84950,55744
Database_Administrators,SREE INFOTECH LLC,67,87130,54881.20896,84950,55474
Database_Administrators,"FUJITSU AMERICA, INC.",79,87130,79304.51899,84950,79664
Electrical_Engineers,L&T TECHNOLOGY SERVICES LIMITED,16,98620,61057,94210,61256
Electrical_Engineers,TEXAS INSTRUMENTS INCORPORATED,8,98620,96283.875,94210,91998
Electrical_Engineers,"AISIN TECHNICAL CENTER OF AMERICA, INC.",6,98620,67642,94210,67642
Electrical_Engineers,ABB INC.,6,98620,82370.5,94210,83699
Electrical_Engineers,"P3 NORTH AMERICA, INC.",5,98620,71756.2,94210,67642
Electronics_Engineers_Except_Computer,INTEL CORPORATION,19,103760,101941.8947,99210,95267
Electronics_Engineers_Except_Computer,"CYIENT, INC.",26,103760,71849.61538,99210,68952
Electronics_Engineers_Except_Computer,"QUALCOMM TECHNOLOGIES, INC.",13,103760,85701.92308,99210,86442
Electronics_Engineers_Except_Computer,INTEL MOBILE COMMUNICATIONS NORTH AMERICA,21,103760,105858.4762,99210,104582
Electronics_Engineers_Except_Computer,"MOTOROLA SOLUTIONS, INC.",12,103760,70823.5,99210,73653
Electronics_Engineers_Except_Computer,"CIRRUS LOGIC, INC.",21,103760,86631.85714,99210,85779
Electronics_Engineers_Except_Computer,SILICON LABORATORIES INC.,14,103760,76024,99210,70824
Electronics_Engineers_Except_Computer,LINEAR TECHNOLOGY CORPORATION,9,103760,82586,99210,75651
Electronics_Engineers_Except_Computer,"MICROCHIP TECHNOLOGY, INC.",9,103760,61108,99210,61880
Electronics_Engineers_Except_Computer,"FUSION SOLUTIONS, LLC",8,103760,77274.75,99210,76045
Financial_Analysts,DELOITTE CONSULTING LLP,624,97640,290365.101,81760,66726
Financial_Analysts,KPMG LLP,70,97640,68639.1,81760,60445
Financial_Analysts,"GOLDMAN, SACHS & CO.",108,97640,73241.48148,81760,65187
Financial_Analysts,JPMORGAN CHASE & CO.,83,97640,75930.25301,81760,66248
Financial_Analysts,"BLACKROCK FINANCIAL MANAGEMENT, INC.",104,97640,73239.06731,81760,65187
Financial_Analysts,CREDIT SUISSE SECURITIES (USA) LLC,126,97640,81628.23016,81760,94640
Financial_Analysts,DEUTSCHE BANK SECURITIES INC.,133,97640,81870.02256,81760,66019
Financial_Analysts,MORGAN STANLEY & CO. LLC,40,97640,87388.625,81760,92362.5
Financial_Analysts,MERRILL LYNCH,63,97640,71776.09524,81760,65749
Financial_Analysts,JEFFERIES LLC,36,97640,68583.27778,81760,65187
Management_Analysts,DELOITTE CONSULTING LLP,564,91910,71077.03901,81330,72654
Management_Analysts,"TECH MAHINDRA (AMERICAS),INC.",524,91910,565261.2863,81330,74152
Management_Analysts,ACCENTURE LLP,638,91910,71469.70219,81330,71885
Management_Analysts,ERNST & YOUNG U.S. LLP,1160,91910,74582.31724,81330,76440
Management_Analysts,CAPGEMINI AMERICA INC,302,91910,68181.25828,81330,59010
Management_Analysts,"COMPUNNEL SOFTWARE GROUP, INC.",192,91910,54178.38542,81330,53248
Management_Analysts,"THE BOSTON CONSULTING GROUP, INC.",422,91910,95283.12512,81330,101962
Management_Analysts,"SDLC MANAGEMENT, INC.",178,91910,52185.17978,81330,48235
Management_Analysts,ERNST &AMP; YOUNG U.S. LLP,188,91910,77039.44681,81330,78749
Management_Analysts,"CANVAS INFOTECH, INC.",168,91910,59684.11429,81330,59196.8
Market_Research_Analysts_and_Marketing_Specialists,METROSPORTS INC,10,70620,45427.08,62560,45427
Market_Research_Analysts_and_Marketing_Specialists,"VNC COMMUNICATIONS, INC. D/B/A PERFORMICS",16,70620,51152.75,62560,51106
Market_Research_Analysts_and_Marketing_Specialists,"CALKO TRANSPORT COMPANY, INC.",12,70620,39353.6,62560,39353.6
Market_Research_Analysts_and_Marketing_Specialists,SGV MARKETING  INC.,12,70620,45905.6,62560,45905.6
Market_Research_Analysts_and_Marketing_Specialists,CHIHUO INC.,10,70620,42681.6,62560,39353.6
Market_Research_Analysts_and_Marketing_Specialists,MAXZONE VEHICLE LIGHTING CORP,10,70620,33238.4,62560,33238.4
Market_Research_Analysts_and_Marketing_Specialists,MB MANAGEMENT GROUP LLC,10,70620,30792.4,62560,36608
Market_Research_Analysts_and_Marketing_Specialists,"MERITDIRECT, LLC",10,70620,52179.2,62560,45906
Market_Research_Analysts_and_Marketing_Specialists,SHAKE-N-GO FASHION INC,10,70620,33488,62560,33488
Market_Research_Analysts_and_Marketing_Specialists,UNICON PHARMA INC.,10,70620,46821,62560,46821
Mechanical_Engineers,"TECH MAHINDRA (AMERICAS),INC.",244,89800,1254281.139,84190,69285
Mechanical_Engineers,L&T TECHNOLOGY SERVICES LIMITED,290,89800,59419.33793,84190,59467
Mechanical_Engineers,"ONWARD TECHNOLOGIES, INC",174,89800,63335.75862,84190,62650
Mechanical_Engineers,"CYIENT, INC.",130,89800,62543.15077,84190,61402
Mechanical_Engineers,"ENGINEERING TECHNOLOGY ASSOCIATES, INC.",176,89800,66544.05682,84190,66394
Mechanical_Engineers,CRESTTEK LLC,122,89800,61383.06557,84190,58157
Mechanical_Engineers,SCHLUMBERGER TECHNOLOGY CORPORATION,90,89800,70461.24444,84190,67080
Mechanical_Engineers,KPIT INFOSYSTEMS INCORPORATED,60,89800,62409.73333,84190,60944
Mechanical_Engineers,MAHINDRA ENGINEERING SERVICES LTD,78,89800,60325.07692,84190,60070
Mechanical_Engineers,"L AND T TECHNOLOGY SERVICES, LTD.",60,89800,57217.26667,84190,58157
Network_and_Computer_Systems_Administrators,WIPRO LIMITED,566,84500,69656.66431,79700,69160
Network_and_Computer_Systems_Administrators,TATA CONSULTANCY SERVICES LIMITED,231,84500,66805.75325,79700,67475
Network_and_Computer_Systems_Administrators,"TECH MAHINDRA (AMERICAS),INC.",127,84500,68519.90551,79700,66789
Network_and_Computer_Systems_Administrators,"V-SOFT CONSULTING GROUP, INC",99,84500,66828.0303,79700,65790
Network_and_Computer_Systems_Administrators,"NEMO IT SOLUTIONS, INC",135,84500,58421.73333,79700,58386
Network_and_Computer_Systems_Administrators,HCL GLOBAL SYSTEMS INC,33,84500,71113.93939,79700,71531.2
Network_and_Computer_Systems_Administrators,"PREMIER IT SOLUTIONS, INC",36,84500,59414.38889,79700,58386
Network_and_Computer_Systems_Administrators,SERVESYS CORPORATION,38,84500,59171.02632,79700,59290.5
Network_and_Computer_Systems_Administrators,"TUPOIN, INC.",45,84500,59268.33333,79700,60112
Network_and_Computer_Systems_Administrators,"NOVISYNC, INC.",45,84500,57400.93333,79700,58386
Operations_Research_Analysts,DELOITTE CONSULTING LLP,840,84340,68975.70238,79200,69098
Operations_Research_Analysts,ERNST & YOUNG U.S. LLP,62,84340,78240.03226,79200,89003
Operations_Research_Analysts,KPMG LLP,228,84340,62463.64912,79200,61818
Operations_Research_Analysts,"GOLDMAN, SACHS & CO.",140,84340,76585.88571,79200,89190
Operations_Research_Analysts,JPMORGAN CHASE & CO.,24,84340,85891.75,79200,89190
Operations_Research_Analysts,KFORCE INC.,60,84340,49292.53333,79200,47080.8
Operations_Research_Analysts,"BLACKROCK FINANCIAL MANAGEMENT, INC.",24,84340,72340.66667,79200,65239
Operations_Research_Analysts,"ONCORRE, INC.",28,84340,59664.92857,79200,60653
Operations_Research_Analysts,CREDIT SUISSE SECURITIES (USA) LLC,44,84340,82800.90909,79200,89190
Operations_Research_Analysts,GENPACT LLC,48,84340,59562.45833,79200,54225.5
Physicians_and_Surgeons_All_Other,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,56,205560,170481.3714,206920,198078
Physicians_and_Surgeons_All_Other,INDIANA UNIV. PURDUE UNIV. INDIANAPOLIS,21,205560,113337.219,206920,117000
Physicians_and_Surgeons_All_Other,THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,21,205560,104178.9524,206920,128140
Physicians_and_Surgeons_All_Other,UNIVERSITY OF PITTSBURGH PHYSICIANS,21,205560,116439.1143,206920,100110
Physicians_and_Surgeons_All_Other,IU HEALTH CARE ASSOCIATES,19,205560,114975.8316,206920,117000
Physicians_and_Surgeons_All_Other,UNIVERSITY OF OKLAHOMA HEALTH SCIENCES CENTER,15,205560,142212.3867,206920,135096
Physicians_and_Surgeons_All_Other,UNIVERSITY OF KENTUCKY,13,205560,148115.0769,206920,149219
Physicians_and_Surgeons_All_Other,BAYLOR COLLEGE OF MEDICINE,9,205560,104410.2222,206920,92280
Physicians_and_Surgeons_All_Other,ALBANY MEDICAL COLLEGE,6,205560,182394.8333,206920,184000
Physicians_and_Surgeons_All_Other,JOHNS HOPKINS UNIVERSITY,5,205560,123864,206920,123864
