SOCName,Employer Name,Number of Records,Mean National Wage,Mean Prevailing Wage,Median National Wage,Median Prevailing Wage
Software_Developers_Applications,DELOITTE CONSULTING LLP,313,104300,82770.46006,100080,82742
Software_Developers_Applications,GOOGLE INC.,3202,104300,106722.2395,100080,103145
Software_Developers_Applications,MICROSOFT CORPORATION,2670,104300,103724.2623,100080,101088
Software_Developers_Applications,CAPGEMINI AMERICA INC,1086,104300,75245.03223,100080,75046
Software_Developers_Applications,"NTT DATA, INC.",365,104300,88107.77315,100080,87235
Software_Developers_Applications,"MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY",794,104300,93360.91209,100080,93371
Software_Developers_Applications,CERNER CORPORATION,669,104300,65580.50673,100080,65312
Software_Developers_Applications,"RANDSTAD TECHNOLOGIES, LP",529,104300,79920.42533,100080,78395
Software_Developers_Applications,BIRLASOFT INC,468,104300,62748.54487,100080,63357
Software_Developers_Applications,"FACEBOOK, INC.",495,104300,130309.6687,100080,131505
Software_Developers_Systems_Software,DELOITTE CONSULTING LLP,1719,110590,82848.61896,106860,81390
Software_Developers_Systems_Software,GOOGLE INC.,105,110590,113615.7048,106860,119350
Software_Developers_Systems_Software,IBM CORPORATION,97,110590,89102.85567,106860,87818
Software_Developers_Systems_Software,INTEL CORPORATION,322,110590,99211.78447,106860,100972.5
Software_Developers_Systems_Software,"UBER TECHNOLOGIES, INC.",165,110590,103766.4606,106860,102357
Software_Developers_Systems_Software,"ORACLE AMERICA, INC.",168,110590,113816.8571,106860,113932
Software_Developers_Systems_Software,"QUALCOMM TECHNOLOGIES, INC.",97,110590,98038.84948,106860,99861
Software_Developers_Systems_Software,"CISCO SYSTEMS, INC.",84,110590,109642.5357,106860,110708
Software_Developers_Systems_Software,MOTOROLA MOBILITY LLC,118,110590,96258.92373,106860,98438
Software_Developers_Systems_Software,YELP INC.,95,110590,110454.5453,106860,102357
